emresa,categoria_principal,subcategoria,subcategoria2
GVB - virtualização de construções,Projeto e Viabilidade,BIM,
iterCode - tecnologia para engenharia,Projeto e Viabilidade,BIM,
smartBIIM - tecnologia para gestão de obras,Projeto e Viabilidade,BIM,
INCO,Projeto e Viabilidade,Crowfunding,
CapRate Investimentos,Projeto e Viabilidade,Crowfunding,
urbe.me,Projeto e Viabilidade,Crowfunding,
vanguardi,Projeto e Viabilidade,Crowfunding,
ROCK,Projeto e Viabilidade,Crowfunding,
bloxs,Projeto e Viabilidade,Crowfunding,
Imobcoin,Projeto e Viabilidade,Crowfunding,
Investweb,Projeto e Viabilidade,Crowfunding,
crawly,Projeto e Viabilidade,Inteligência de mercado,
ALLIANCE CONSÓRCIOS,Projeto e Viabilidade,Inteligência de mercado,
giica,Projeto e Viabilidade,Inteligência de mercado,
PROSPECTA - relatório de obras,Projeto e Viabilidade,Inteligência de mercado,
Obra.ai,Projeto e Viabilidade,Inteligência de mercado,
HOFF ANALYTICS - big data solutions,Projeto e Viabilidade,Inteligência de mercado,
Rede de Obras,Projeto e Viabilidade,Inteligência de mercado,
DATALAND - land powered by data science,Projeto e Viabilidade,Inteligência de mercado,
isket,Projeto e Viabilidade,Inteligência de mercado,
urbit,Projeto e Viabilidade,Inteligência de mercado,
INTEC,Projeto e Viabilidade,Inteligência de mercado,
propdo,Projeto e Viabilidade,Inteligência de mercado,
comproterreno,Projeto e Viabilidade,Terrenos,
BUSCA TERRA,Projeto e Viabilidade,Terrenos,
1M2,Projeto e Viabilidade,Terrenos,
GISBASE - geoinformation system,Projeto e Viabilidade,Terrenos,Dados Fundiários
Geomart,Projeto e Viabilidade,Terrenos,Dados Fundiários
Solo landbank,Projeto e Viabilidade,Terrenos,Intermediação Digital
AGREGA - desenvolvimento imobiliário,Projeto e Viabilidade,Terrenos,Intermediação Digital
allrea,Projeto e Viabilidade,Terrenos,Portal
Terreno Livre,Projeto e Viabilidade,Terrenos,Portal
FazendaAberta,Projeto e Viabilidade,Terrenos,Portal
MyTower,Projeto e Viabilidade,Terrenos,Portal
Vértice PRO,Projeto e Viabilidade,Burocracia pública,
APROVA DIGITAL,Projeto e Viabilidade,Burocracia pública,
APROVA LEGAL,Projeto e Viabilidade,Burocracia pública,
USU CAMPEÃO - regularize seu imóvel,Projeto e Viabilidade,Burocracia pública,
no cartório.com,Projeto e Viabilidade,Burocracia pública,
Regular Easy - regularizações imobiliárias,Projeto e Viabilidade,Burocracia pública,
reguLARiza! Brasil,Projeto e Viabilidade,Burocracia pública,
CASOCA,Projeto e Viabilidade,Projeto,Catálogo de Produtos
wikeep,Projeto e Viabilidade,Projeto,Catálogo de Produtos
123 Projetei,Projeto e Viabilidade,Projeto,Catálogo de Produtos
ARQUILEGO,Projeto e Viabilidade,Projeto,Contratação de Projetistas e Arquitetos
iENG - projetistas especializados,Projeto e Viabilidade,Projeto,Contratação de Projetistas e Arquitetos
INOVA URBIS,Projeto e Viabilidade,Projeto,Contratação de Projetistas e Arquitetos
arco,Projeto e Viabilidade,Projeto,Gestão de Projetos
construflow,Projeto e Viabilidade,Projeto,Gestão de Projetos
Refresher,Projeto e Viabilidade,Projeto,Gestão de Projetos
aerosim,Projeto e Viabilidade,Projeto,Modelagem
arqgen,Projeto e Viabilidade,Projeto,Modelagem
ocalev - inovação em engenharia,Projeto e Viabilidade,Projeto,Modelagem
Gabster,Projeto e Viabilidade,Projeto,Modelagem
PrevSis,Projeto e Viabilidade,Projeto,Modelagem
mooble.com,Projeto e Viabilidade,Projeto,Modelagem
urbIA,Projeto e Viabilidade,Projeto,Modelagem
seabra - soluções inteligentes,Projeto e Viabilidade,Projeto,Modelagem
MONÍ,Projeto e Viabilidade,Projeto,Pré-projeto
instacasa - sua casa num instante,Projeto e Viabilidade,Projeto,Pré-projeto
HYGGE,Projeto e Viabilidade,Sustentabilidade,
endelevo - soluções sustentáveis,Projeto e Viabilidade,Sustentabilidade,
CUB,Projeto e Viabilidade,Loteamentos,
trilote,Projeto e Viabilidade,Loteamentos,
Terravista,Projeto e Viabilidade,Loteamentos,Plataforma de Gestão
hent,Projeto e Viabilidade,Loteamentos,Plataforma de Gestão
scae,Projeto e Viabilidade,Loteamentos,Plataforma de Gestão
Mapzer,Projeto e Viabilidade,Smart city,
INFRACITIES,Projeto e Viabilidade,Smart city,
estrelas ARCHI,Projeto e Viabilidade,Outros,
we.br,Projeto e Viabilidade,Outros,
NIMBUS,Projeto e Viabilidade,Outros,
ConstruMoney,Projeto e Viabilidade,Outros,
itemize,Projeto e Viabilidade,Outros,
SOND,Projeto e Viabilidade,Geotecnia e Topografia,
DUNA SYSTEM,Projeto e Viabilidade,Geotecnia e Topografia,
MEU AGRIMENSOR,Projeto e Viabilidade,Geotecnia e Topografia,
constru liga,Construção,Conteúdo,
